Dataset,Evalation type,Method,Alpha,Beta,Width,Bin size,Curve,Evaluation Value,Model
GM12878-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1.00E+05,step,0.113806152,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1.00E+05,step,0.258789531,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,1,Inf,0,1000,step,0.223278855,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,2,1,7,1000,step,0.223424761,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,1.002313162,300,1994,1000,step,0.219557646,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,1.000693387,1000,6644,1000,step,0.216057243,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,1.000231076,3000,19932,1000,step,0.217694931,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,1.000069317,10000,66439,1000,step,0.216605809,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1000,step,0.272887821,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1000,step,0.309709428,Model 3
GM12878-K562,Differential expression,Variance stabilization,1,Inf,0,10000,step,0.311744652,Model 1
GM12878-K562,Differential expression,Variance stabilization,2,1,7,10000,step,0.311744652,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.002313162,300,1994,10000,step,0.311923525,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000693387,1000,6644,10000,step,0.310493944,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000231076,3000,19932,10000,step,0.317253653,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000069317,10000,66439,10000,step,0.318445293,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,0.314386585,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,10000,step,0.339499202,Model 1
GM12878-K562,Differential expression,Variance stabilization,1,Inf,0,1.00E+05,step,0.182988173,Model 1
GM12878-K562,Differential expression,Variance stabilization,2,1,7,1.00E+05,step,0.182988173,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.002313162,300,1994,1.00E+05,step,0.184300566,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,0.184300566,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,0.185492658,Model 1
